Employer,Sector,City,State,Lat,Long
A. G. Edwards and Sons,Financial Services,St. Louis,Missouri,38.627003,-90.199402
Adaptive Insights ,Technology,Palo Alto,California,37.436171,-122.11072
Adobe ,Technology,San Jose,California,37.329637,-121.895046
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Amazon,Technology,Seattle,Washington,47.608013,-122.335167
Apple,Technology,Cupertino,California,37.332084,-122.031212
Apple,Technology,Cupertino,California,37.332084,-122.031212
Apple,Technology,Cupertino,California,37.332084,-122.031212
Apple,Technology,Cupertino,California,37.332084,-122.031212
Apple,Technology,Cupertino,California,37.332084,-122.031212
Apple,Technology,Cupertino,California,37.332084,-122.031212
Apple,Technology,Cupertino,California,37.332084,-122.031212
Arista Networks ,Technology,Santa Clara,California,37.412084,-121.976058
Autodesk,Technology,San Rafael,California,38.005382,-122.530719
Bain and Company,Consulting,Boston,Massachusetts,42.361145,-71.057083
Box,Technology,Redwood City,California,37.485956,-122.229312
BrightRoll,Technology,San Francisco,California,37.793918,-122.401741
California Alumni Association,Other,Berkeley,California,37.869967,-122.261134
Capital One,Financial Services,McLean,Virginia,38.943545,-77.192913
Castlight Health,Other,San Francisco,California,37.792055,-122.393396
Cisco Systems,Technology,San Jose,California,37.412449,-121.955486
Cisco Systems,Technology,San Jose,California,37.412449,-121.955486
Cisco Systems,Technology,San Jose,California,37.412449,-121.955486
Cisco Systems  ,Technology,San Jose,California,37.412449,-121.955486
Citigroup,Financial Services,New York,New York,40.72125,-74.011028
Citigroup ,Financial Services,New York,New York,40.72125,-74.011028
Codazen,Consulting,Newport Beach,California,33.612465,-117.876855
"Coupa Software, Inc.",Technology,San Mateo,California,37.553563,-122.298808
Crunchyroll,Other,San Francisco,California,37.785052,-122.406282
Datastax,Technology,Santa Clara,California,37.387426,-121.973894
DreamWorks Animation SKG,Other,Glendale,California,34.157699,-118.285183
eBay,Technology,San Jose,California,37.293966,-121.924918
eBay,Technology,San Jose,California,37.293966,-121.924918
eBay,Technology,San Jose,California,37.293966,-121.924918
eBay,Technology,San Jose,California,37.293966,-121.924918
eBay,Technology,San Jose,California,37.293966,-121.924918
Electronic Arts,Technology,Redwood City,California,37.523467,-122.254187
Electronic Arts,Technology,Redwood City,California,37.523467,-122.254187
Electronic Arts,Technology,Redwood City,California,37.523467,-122.254187
EMC,Technology,Hopkinton,Massachusetts,42.228695,-71.522565
EMC,Technology,Hopkinton,Massachusetts,42.228695,-71.522565
Equilar,Technology,Redwood City,California,37.487647,-122.223541
Expedia,Technology,Bellevue,Washington,47.6101,-122.2015
Facebook,Technology,Mountain View,California,37.484717,-122.147942
Facebook,Technology,Mountain View,California,37.484717,-122.147942
Facebook,Technology,Mountain View,California,37.484717,-122.147942
Facebook,Technology,Mountain View,California,37.484717,-122.147942
Facebook,Technology,Mountain View,California,37.484717,-122.147942
Facebook,Technology,Mountain View,California,37.484717,-122.147942
Facebook,Technology,Mountain View,California,37.484717,-122.147942
Facebook,Technology,Mountain View,California,37.484717,-122.147942
Factset Research Systems,Financial Services,Norwalk,Connecticut,41.11774,-73.40815
Fitbit,Technology,San Francisco,California,37.78884,-122.39508
Flixster,Technology,San Francisco,California,37.781646,-122.407571
Gap,Other,San Francisco,California,37.790875,-122.391495
Gap,Other,San Francisco,California,37.790875,-122.391495
Goodreads,Other,Seattle,Washington,47.608013,-122.335167
Google,Technology,Mountain View,California,37.422213,-122.084058
Google,Technology,Mountain View,California,37.422213,-122.084058
Google,Technology,Mountain View,California,37.422213,-122.084058
Google,Technology,Mountain View,California,37.422213,-122.084058
Google,Technology,Mountain View,California,37.422213,-122.084058
Google,Technology,Mountain View,California,37.422213,-122.084058
Google,Technology,Mountain View,California,37.422213,-122.084058
Google,Technology,Mountain View,California,37.422213,-122.084058
Google,Technology,Mountain View,California,37.422213,-122.084058
Google,Technology,Mountain View,California,37.422213,-122.084058
Google,Technology,Mountain View,California,37.422213,-122.084058
Google,Technology,Mountain View,California,37.422213,-122.084058
Groupon,Technology,Chicago,Illinois,41.881832,-87.623177
Guidespark,Technology,Redwood City,California,37.514367,-122.199878
Hewlett-Packard,Technology,Palo Alto,California,37.412051,-122.149035
Humin Inc,Technology,San Francisco,California,37.795458,-122.403545
HyTrust Cloud Secruity,Technology,Mountain View,California,37.394027,-122.099357
IBM Corp,Technology,Armonk,New York,41.113529,-73.71606
IBM Corp,Technology,Armonk,New York,41.113529,-73.71606
Institute for Humane Studies,Other,Arlington,Virginia,38.878337,-77.100703
Jet Propulsion Laboratory,Other,Pasadena,California,34.201299,-118.171405
Khan Academy,Other,Mountain View,California,37.421321,-122.08385
Lab126,Other,Sunnyvale,California,37.32137,-122.030751
Lending Club,Other,San Francisco,California,37.789345,-122.399671
Lending Club,Other,San Francisco,California,37.789345,-122.399671
Lending Club,Other,San Francisco,California,37.789345,-122.399671
LinkedIn,Technology,Mountain View,California,37.423299,-122.070594
LinkedIn,Technology,Mountain View,California,37.423299,-122.070594
LinkedIn,Technology,Mountain View,California,37.423299,-122.070594
LinkedIn,Technology,Mountain View,California,37.423299,-122.070594
LinkedIn,Technology,Mountain View,California,37.423299,-122.070594
LinkedIn,Technology,Mountain View,California,37.423299,-122.070594
LinkedIn,Technology,Mountain View,California,37.423299,-122.070594
LinkedIn,Technology,Mountain View,California,37.423299,-122.070594
LinkedIn,Technology,Mountain View,California,37.423299,-122.070594
LiveRail,Technology,Menlo Park,California,37.789563,-122.400345
LOOKBOOK,Other,San Francisco,California,37.773972,-122.431297
Lumosity,Other,San Francisco,California,37.788152,-122.401205
Marin Software,Technology,San Francisco,California,37.786651,-122.394437
Marin Software,Technology,San Francisco,California,-122.394437,-122.394437
Metamarkets,Technology,San Francisco,California,37.781712,-122.391038
Microsoft,Technology,Redmond,Washington,47.673988,-122.121513
Microsoft,Technology,Redmond,Washington,47.673988,-122.121513
Microsoft,Technology,Redmond,Washington,47.673988,-122.121513
Microsoft,Technology,Redmond,Washington,47.673988,-122.121513
Microsoft,Technology,Redmond,Washington,47.673988,-122.121513
Moelis & Company,Financial Services,New York,New York,40.759127,-73.971928
MoovWeb,Technology,San Francisco,California,37.791866,-122.394482
"NetApp, Inc.",Technology,Sunnyvale,California,37.411236,-122.011891
NetSuite,Technology,San Mateo,California,37.536738,-122.328461
NodePrime,Technology,San Francisco,California,37.782498,-122.403492
Oracle Corp,Technology,Redwood City,California,37.529408,-122.265966
Palantir Technologies,Technology,Palo Alto,California,37.442611,-122.162074
Palantir Technologies,Technology,Palo Alto,California,37.442611,-122.162074
Pandora,Technology,Oakland,California,37.81028,-122.265998
Pandora,Technology,Oakland,California,37.81028,-122.265998
