Employers,Sector,City,State,Lat,Long
Amazon.com,Technology,Seattle,Washington ,47.608013,-122.335167
Amazon.com,Technology,Seattle,Washington ,47.608013,-122.335167
Amazon.com,Technology,Seattle,Washington ,47.608013,-122.335167
Amazon.com,Technology,Seattle,Washington ,47.608013,-122.335167
Amazon.com,Technology,Seattle,Washington ,47.608013,-122.335167
Apple Computer,Technology,Cupertino,California,37.323,-122.0527
BrightRoll,Technology,San Francisco,California,37.773972,-122.431297
Cisco Systems Inc,Technology,San Jose,California,37.279518,-121.867905
Codazen,Consulting,Newport Beach,California,33.6189,-117.9289
Crunchyroll,Other,San Francisco,California,37.773972,-122.431297
Datastax,Technology,Santa Clara,California,37.354107,-121.955238
DreamWorks Animation SKG,Other,Glendale,California,34.1425,-118.2551
eBay,Technology,San Jose,California,37.279518,-121.867905
eBay,Technology,San Jose,California,37.279518,-121.867905
eBay,Technology,San Jose,California,37.279518,-121.867905
Electronic Arts,Technology,Redwood City,California,37.4852152,-122.2363548
Electronic Arts,Technology,Redwood City,California,37.4852152,-122.2363548
EMC,Technology,Hopkinton,Massachusetts,42.228695,-71.522565
Expedia,Technology,Bellevue,Washington ,47.6101,-122.2015
Goodreads,Other,Seattle,Washington ,47.608013,-122.335167
Google Inc,Technology,Mountain View,California,37.386051,-122.08385
Groupon,Technology,Chicago,Illinois,41.881832,-87.623177
Humin Inc,Technology,San Francisco,California,37.773972,-122.431297
IBM Corp,Technology,Armonk,New York,41.136,-73.7009
Jet Propulsion Laboratory,Other,Pasadena,California,34.1478,-118.1445
LinkedIn,Technology,Mountain View,California,37.386051,-122.08385
LinkedIn,Technology,Mountain View,California,37.386051,-122.08385
LinkedIn,Technology,Mountain View,California,37.386051,-122.08385
LinkedIn,Technology,Mountain View,California,37.386051,-122.08385
LiveRail,Technology,Menlo Park,California,37.453,-122.1817
Lumosity,Other,San Francisco,California,37.773972,-122.431297
Microsoft,Technology,Redmond,Washington ,47.673988,-122.121513
Microsoft,Technology,Redmond,Washington ,47.673988,-122.121513
Moelis & Company,Financial Services,New York,New York,40.7128,-74.0059
Palantir Technologies,Technology,Palo Alto,California,37.468319,-122.143936
Palantir Technologies,Technology,Palo Alto,California,37.468319,-122.143936
Pandora,Technology,Oakland,California,37.801239,-122.258301
Pandora Media,Technology,Oakland,California,37.801239,-122.258301
Pinterest,Technology,San Francisco,California,37.773972,-122.431297
Pivotal Labs,Technology,San Francisco,California,37.773972,-122.431297
Qualcomm,Technology,San Diego,California,32.7157,-117.1611
Salesforce.com,Technology,San Francisco,California,37.773972,-122.431297
Solution Set,Technology,Palo Alto,California,37.468319,-122.143936
Splunk,Technology,San Francisco,California,37.773972,-122.431297
Splunk,Technology,San Francisco,California,37.773972,-122.431297
TellApart,Technology,San Francisco,California,37.773972,-122.431297
TubeMogul,Technology,Emeryville,California,37.831316,-122.2852
Twitter,Technology,San Francisco,California,37.773972,-122.431297
Venmo,Technology,San Jose,California,37.279518,-121.867905
Vmware,Technology,Palo Alto,California,37.468319,-122.143936
Workday,Technology,Pleasanton,California,37.6624,-121.8747
Workday,Technology,Pleasanton,California,37.6624,-121.8747
Workday,Technology,Pleasanton,California,37.6624,-121.8747
Workday,Technology,Pleasanton,California,37.6624,-121.8747
Workday,Technology,Pleasanton,California,37.6624,-121.8747
Yahoo!,Technology,Sunnyvale,California,37.368832,-122.036346
Yelp,Technology,San Francisco,California,37.773972,-122.431297
Yelp,Technology,San Francisco,California,37.773972,-122.431297
